userId,sectionId,rating
1,1,3
1,1,8
1,1,7
1,1,2
1,1,4
1,1,7
1,1,0
1,1,7
1,1,4
1,1,5
1,2,7
1,2,9
1,2,2
1,2,1
1,2,7
1,2,0
1,2,8
1,2,8
1,2,6
1,2,2
1,3,0
1,3,5
1,3,3
1,3,6
1,3,2
1,3,3
1,3,3
1,3,0
1,3,7
1,3,4
1,4,2
1,4,3
1,4,1
1,4,2
1,4,8
1,4,5
1,4,1
1,4,1
1,4,8
1,4,8
1,5,0
1,5,5
1,5,0
1,5,9
1,5,4
1,5,6
1,5,3
1,5,9
1,5,5
1,5,5
1,6,3
1,6,3
1,6,6
1,6,6
1,6,4
1,6,2
1,6,6
1,6,3
1,6,4
1,6,8
1,7,3
1,7,0
1,7,6
1,7,6
1,7,0
1,7,9
1,7,9
1,7,0
1,7,3
1,7,4
1,8,4
1,8,9
1,8,3
1,8,7
1,8,4
1,8,5
1,8,9
1,8,5
1,8,9
1,8,0
1,9,0
1,9,3
1,9,1
1,9,5
1,9,0
1,9,9
1,9,4
1,9,0
1,9,0
1,9,9
1,10,1
1,10,7
1,10,6
1,10,8
1,10,8
1,10,0
1,10,0
1,10,3
1,10,7
1,10,6
1,11,2
1,11,8
1,11,7
1,11,6
1,11,9
1,11,2
1,11,8
1,11,8
1,11,9
1,11,4
1,12,1
1,12,5
1,12,0
1,12,0
1,12,9
1,12,0
1,12,8
1,12,7
1,12,7
1,12,6
1,13,9
1,13,8
1,13,6
1,13,9
1,13,4
1,13,7
1,13,8
1,13,4
1,13,1
1,13,5
1,14,3
1,14,3
1,14,1
1,14,2
1,14,7
1,14,4
1,14,2
1,14,6
1,14,0
1,14,2
1,15,0
1,15,7
1,15,5
1,15,4
1,15,4
1,15,6
1,15,7
1,15,3
1,15,6
1,15,9
1,16,6
1,16,2
1,16,4
1,16,9
1,16,8
1,16,6
1,16,7
1,16,4
1,16,0
1,16,2
1,17,0
1,17,6
1,17,7
1,17,1
1,17,7
1,17,4
1,17,5
1,17,2
1,17,9
1,17,8
1,18,1
1,18,6
1,18,5
1,18,1
1,18,8
1,18,2
1,18,8
1,18,5
1,18,1
1,18,8
1,19,8
1,19,2
1,19,3
1,19,6
1,19,3
1,19,3
1,19,2
1,19,5
1,19,4
1,19,3
1,20,1
1,20,5
1,20,6
1,20,3
1,20,0
1,20,4
1,20,4
1,20,8
1,20,8
1,20,6
1,21,2
1,21,3
1,21,3
1,21,9
1,21,2
1,21,8
1,21,9
1,21,7
1,21,0
1,21,3
1,22,4
1,22,5
1,22,4
1,22,4
1,22,8
1,22,9
1,22,1
1,22,4
1,22,0
1,22,8
1,23,8
1,23,8
1,23,2
1,23,6
1,23,7
1,23,6
1,23,0
1,23,4
1,23,8
1,23,3
1,24,1
1,24,9
1,24,6
1,24,5
1,24,7
1,24,7
1,24,8
1,24,0
1,24,3
1,24,9
1,25,4
1,25,1
1,25,2
1,25,0
1,25,4
1,25,9
1,25,5
1,25,9
1,25,6
1,25,8
1,26,8
1,26,7
1,26,8
1,26,8
1,26,8
1,26,5
1,26,3
1,26,1
1,26,1
1,26,8
1,27,0
1,27,0
1,27,1
1,27,6
1,27,3
1,27,7
1,27,0
1,27,8
1,27,3
1,27,8
1,28,8
1,28,5
1,28,0
1,28,7
1,28,1
1,28,0
1,28,3
1,28,8
1,28,5
1,28,3
1,29,4
1,29,6
1,29,1
1,29,7
1,29,1
1,29,0
1,29,7
1,29,2
1,29,4
1,29,1
1,30,5
1,30,1
1,30,4
1,30,6
1,30,8
1,30,9
1,30,1
1,30,2
1,30,2
1,30,4
1,31,0
1,31,5
1,31,4
1,31,6
1,31,1
1,31,6
1,31,5
1,31,7
1,31,1
1,31,5
1,32,2
1,32,2
1,32,0
1,32,7
1,32,0
1,32,8
1,32,6
1,32,3
1,32,3
1,32,1
1,33,1
1,33,0
1,33,6
1,33,7
1,33,8
1,33,6
1,33,8
1,33,3
1,33,8
1,33,1
1,34,8
1,34,6
1,34,3
1,34,9
1,34,5
1,34,5
1,34,2
1,34,3
1,34,9
1,34,8
1,35,9
1,35,6
1,35,9
1,35,2
1,35,0
1,35,8
1,35,9
1,35,6
1,35,0
1,35,5
1,36,9
1,36,0
1,36,3
1,36,3
1,36,1
1,36,4
1,36,9
1,36,5
1,36,4
1,36,4
1,37,0
1,37,2
1,37,0
1,37,0
1,37,0
1,37,9
1,37,6
1,37,7
1,37,3
1,37,8
1,38,7
1,38,4
1,38,2
1,38,1
1,38,9
1,38,9
1,38,8
1,38,2
1,38,2
1,38,9
1,39,2
1,39,2
1,39,4
1,39,6
1,39,6
1,39,9
1,39,0
1,39,5
1,39,3
1,39,1
1,40,5
1,40,8
1,40,1
1,40,6
1,40,5
1,40,3
1,40,3
1,40,4
1,40,6
1,40,5
1,41,9
1,41,2
1,41,8
1,41,7
1,41,8
1,41,5
1,41,7
1,41,7
1,41,0
1,41,4
1,42,1
1,42,3
1,42,0
1,42,6
1,42,8
1,42,5
1,42,9
1,42,6
1,42,1
1,42,7
1,43,3
1,43,0
1,43,1
1,43,1
1,43,5
1,43,8
1,43,9
1,43,6
1,43,7
1,43,6
1,44,1
1,44,4
1,44,5
1,44,4
1,44,9
1,44,4
1,44,6
1,44,3
1,44,4
1,44,8
1,45,8
1,45,2
1,45,4
1,45,7
1,45,8
1,45,8
1,45,4
1,45,3
1,45,2
1,45,4
1,46,5
1,46,0
1,46,8
1,46,6
1,46,5
1,46,3
1,46,0
1,46,2
1,46,8
1,46,1
1,47,3
1,47,3
1,47,7
1,47,2
1,47,3
1,47,4
1,47,3
1,47,2
1,47,1
1,47,6
1,48,0
1,48,7
1,48,5
1,48,0
1,48,1
1,48,2
1,48,5
1,48,0
1,48,3
1,48,8
1,49,7
1,49,8
1,49,6
1,49,3
1,49,7
1,49,6
1,49,4
1,49,0
1,49,3
1,49,0
1,50,7
1,50,2
1,50,3
1,50,6
1,50,4
1,50,4
1,50,3
1,50,7
1,50,3
1,50,1
1,51,8
1,51,8
1,51,4
1,51,1
1,51,8
1,51,4
1,51,8
1,51,8
1,51,8
1,51,9
1,52,0
1,52,1
1,52,8
1,52,1
1,52,6
1,52,9
1,52,0
1,52,7
1,52,4
1,52,1
1,53,0
1,53,7
1,53,7
1,53,0
1,53,2
1,53,1
1,53,4
1,53,5
1,53,8
1,53,9
1,54,3
1,54,6
1,54,2
1,54,8
1,54,2
1,54,3
1,54,6
1,54,9
1,54,0
1,54,7
1,55,9
1,55,2
1,55,2
1,55,1
1,55,8
1,55,4
1,55,0
1,55,2
1,55,0
1,55,9
1,56,5
1,56,6
1,56,7
1,56,6
1,56,0
1,56,7
1,56,4
1,56,5
1,56,3
1,56,6
1,57,9
1,57,8
1,57,4
1,57,9
1,57,5
1,57,2
1,57,5
1,57,0
1,57,2
1,57,6
1,58,4
1,58,1
1,58,6
